Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
2,Apajalahti,Ahto Aleksis,"Apajalahti, Ahto",,,etunimi.sukunimi.0@example.com,Testiosoite 1,10000,Helsinki,29,Akateemiset piraatit,H,
3,Hanski,Joni Petteri,"Hanski, Joni",,,etunimi.sukunimi.1@example.com,Testiosoite 2,10001,Helsinki,29,Akateemiset piraatit,ML,
4,Mäkinen,Joonas Mikael,"Mäkinen, Joonas",,,etunimi.sukunimi.2@example.com,Testiosoite 3,10002,Helsinki,29,Akateemiset piraatit,V,
5,Söderholm,Charlotta Mari,"Söderholm, Lotta",,,etunimi.sukunimi.3@example.com,Testiosoite 4,10003,Helsinki,29,Akateemiset piraatit,O,
6,Toivanen,Anni Julia,"Toivanen, Julia",,,etunimi.sukunimi.4@example.com,Testiosoite 5,10004,Helsinki,26,Tsemppi Group,B,
7,Liu,Tianyan,"Liu, Tianyan",,,etunimi.sukunimi.5@example.com,Testiosoite 6,10005,Helsinki,26,Tsemppi Group,T,
8,Long,Feiran,"Long, Feiran",,,etunimi.sukunimi.6@example.com,Testiosoite 7,10006,Helsinki,26,Tsemppi Group,L,
9,Bessonova,Anna,"Bessonova, Anna",,,etunimi.sukunimi.7@example.com,Testiosoite 8,10007,Helsinki,26,Tsemppi Group,MM,
10,Rasmussen,Søren Berg,"Rasmussen, Søren",,,etunimi.sukunimi.8@example.com,Testiosoite 9,10008,Helsinki,26,Tsemppi Group,K,
11,Leinius,Johanna,"Leinius, Johanna",,,etunimi.sukunimi.9@example.com,Testiosoite 10,10009,Helsinki,26,Tsemppi Group,E,
12,Gagné,Stéphanie,"Gagné, Stéphanie",,,etunimi.sukunimi.10@example.com,Testiosoite 11,10010,Helsinki,26,Tsemppi Group,H,
13,Franchin,Alessandro,"Franchin, Alessandro",,,etunimi.sukunimi.11@example.com,Testiosoite 12,10011,Helsinki,26,Tsemppi Group,ML,
14,Helenius,Marja-Liisa,"Helenius, Marja-Liisa",,,etunimi.sukunimi.12@example.com,Testiosoite 13,10012,Helsinki,26,Tsemppi Group,V,
15,Chenna,Naveen Kumay,"Chenna, Naveen",,,etunimi.sukunimi.13@example.com,Testiosoite 14,10013,Helsinki,26,Tsemppi Group,O,
16,Arohi,Anupam,"Arohi, Anupam",,,etunimi.sukunimi.14@example.com,Testiosoite 15,10014,Helsinki,26,Tsemppi Group,B,
17,Laster,Zachary Howell,"Laster, Zach",,,etunimi.sukunimi.15@example.com,Testiosoite 16,10015,Helsinki,26,Tsemppi Group,T,
18,Diatlova,Anastasia,"Diatlova, Nastia",,,etunimi.sukunimi.16@example.com,Testiosoite 17,10016,Helsinki,26,Tsemppi Group,L,
19,Hossain,Shakhawat,"Hossain, Shakhawat",,,etunimi.sukunimi.17@example.com,Testiosoite 18,10017,Helsinki,26,Tsemppi Group,MM,
20,Strickman,Rachel Jean,"Strickman, Rachel",,,etunimi.sukunimi.18@example.com,Testiosoite 19,10018,Helsinki,26,Tsemppi Group,K,
21,Boldt,Hildur Merja Johanna,"Boldt, Hildur",,,etunimi.sukunimi.19@example.com,Testiosoite 20,10019,Helsinki,22,Opiskelijademarit,E,
22,Eriksson-Bique,Sylvester Daniel,"Eriksson-Bique, Sylvester",,,etunimi.sukunimi.20@example.com,Testiosoite 21,10020,Helsinki,22,Opiskelijademarit,H,
23,Erra,Martti Kaipia Johannes,"Erra, Johannes",,,etunimi.sukunimi.21@example.com,Testiosoite 22,10021,Helsinki,22,Opiskelijademarit,ML,
24,Iso-Lotila,Joona Risti Mikael,"Iso-Lotila, Joona",,,etunimi.sukunimi.22@example.com,Testiosoite 23,10022,Helsinki,22,Opiskelijademarit,V,
25,Heinäluoma,Ida Anniina,"Heinäluoma, Ida",,,etunimi.sukunimi.23@example.com,Testiosoite 24,10023,Helsinki,22,Opiskelijademarit,O,
26,Häkkinen,Anssi Ilari,"Häkkinen, Anssi",,,etunimi.sukunimi.24@example.com,Testiosoite 25,10024,Helsinki,22,Opiskelijademarit,B,
27,Häkkinen,Juha Petteri,"Häkkinen, Juha",,,etunimi.sukunimi.25@example.com,Testiosoite 26,10025,Helsinki,22,Opiskelijademarit,T,
28,Häkkinen,Satu-Maria,"Häkkinen, Satu-Maria",,,etunimi.sukunimi.26@example.com,Testiosoite 27,10026,Helsinki,22,Opiskelijademarit,L,
29,Hytti,Simo Antti Juhani,"Hytti, Antti",,,etunimi.sukunimi.27@example.com,Testiosoite 28,10027,Helsinki,22,Opiskelijademarit,MM,
30,Jalava,Tuomas Joonatan,"Jalava, Tuomas",,,etunimi.sukunimi.28@example.com,Testiosoite 29,10028,Helsinki,22,Opiskelijademarit,K,
31,Juntumaa,Inari Julia,"Juntumaa, Inari",,,etunimi.sukunimi.29@example.com,Testiosoite 30,10029,Helsinki,22,Opiskelijademarit,E,
32,Kammonen,Veli Viljami Matias,"Kammonen, Viljami",,,etunimi.sukunimi.30@example.com,Testiosoite 31,10030,Helsinki,22,Opiskelijademarit,H,
33,Korkeela,Tiina Tytti Unelma,"Korkeela, Tiina",,,etunimi.sukunimi.31@example.com,Testiosoite 32,10031,Helsinki,22,Opiskelijademarit,ML,
34,Kuisma,Jukka Kusti,"Kuisma, Jukka",,,etunimi.sukunimi.32@example.com,Testiosoite 33,10032,Helsinki,22,Opiskelijademarit,V,
35,Laukia,Joonas Patrik Antero,"Laukia, Joonas",,,etunimi.sukunimi.33@example.com,Testiosoite 34,10033,Helsinki,22,Opiskelijademarit,O,
36,Lehmijoki,Anna Marja,"Lehmijoki, Marja",,,etunimi.sukunimi.34@example.com,Testiosoite 35,10034,Helsinki,22,Opiskelijademarit,B,
37,Lipponen,Päivi Elisa,"Lipponen, Elisa",,,etunimi.sukunimi.35@example.com,Testiosoite 36,10035,Helsinki,22,Opiskelijademarit,T,
38,Lähdesmäki,Sini Pauliina,"Lähdesmäki, Sini",,,etunimi.sukunimi.36@example.com,Testiosoite 37,10036,Helsinki,22,Opiskelijademarit,L,
39,Meltti,Sonia Margot,"Meltti, Sonia",,,etunimi.sukunimi.37@example.com,Testiosoite 38,10037,Helsinki,22,Opiskelijademarit,MM,
40,Muona,Marianne Kristiina,"Muona, Marianne",,,etunimi.sukunimi.38@example.com,Testiosoite 39,10038,Helsinki,22,Opiskelijademarit,K,
41,Niemi,Matti Nestori,"Niemi, Matti",,,etunimi.sukunimi.39@example.com,Testiosoite 40,10039,Helsinki,22,Opiskelijademarit,E,
42,Ortiz-Nieminen,Oscar Antonio,"Ortiz-Nieminen, Oscar",,,etunimi.sukunimi.40@example.com,Testiosoite 41,10040,Helsinki,22,Opiskelijademarit,H,
43,Papunen,Erkki Tapani,"Papunen, Erkki",,,etunimi.sukunimi.41@example.com,Testiosoite 42,10041,Helsinki,22,Opiskelijademarit,ML,
44,Penny,Kaisa Emilia,"Penny, Kaisa",,,etunimi.sukunimi.42@example.com,Testiosoite 43,10042,Helsinki,22,Opiskelijademarit,V,
45,Sauli,Mikko Juhani,"Sauli, Mikko",,,etunimi.sukunimi.43@example.com,Testiosoite 44,10043,Helsinki,22,Opiskelijademarit,O,
46,Selinummi,Elisa Josefiina,"Selinummi, Elisa",,,etunimi.sukunimi.44@example.com,Testiosoite 45,10044,Helsinki,22,Opiskelijademarit,B,
47,Sihto,Ville Matti Hjalmat,"Sihto, Ville",,,etunimi.sukunimi.45@example.com,Testiosoite 46,10045,Helsinki,22,Opiskelijademarit,T,
48,Tuominen,Pekka Kalervo Johannes,"Tuominen, Pekka",,,etunimi.sukunimi.46@example.com,Testiosoite 47,10046,Helsinki,22,Opiskelijademarit,L,
49,Vaara,Piia Liisa Marianne,"Vaara, Piia",,,etunimi.sukunimi.47@example.com,Testiosoite 48,10047,Helsinki,22,Opiskelijademarit,MM,
50,Välimäki,Heta Misteli,"Välimäki, Heta",,,etunimi.sukunimi.48@example.com,Testiosoite 49,10048,Helsinki,22,Opiskelijademarit,K,
51,Wäänänen,Matti Lauri Oskari,"Wäänänen, Oskari",,,etunimi.sukunimi.49@example.com,Testiosoite 50,10049,Helsinki,22,Opiskelijademarit,E,
52,Ylianttila,Anu Pauliina,"Ylianttila, Anu",,,etunimi.sukunimi.50@example.com,Testiosoite 51,10050,Helsinki,22,Opiskelijademarit,H,
53,Aalto,Maria Josefina,"Aalto, Maria",,,etunimi.sukunimi.51@example.com,Testiosoite 52,10051,Helsinki,10,Kokoomusopiskelijat 1,ML,
